image_id,label
train_17788,0
train_25764,0
train_19169,0
train_17723,0
train_02319,0
train_21772,0
train_12551,0
train_19267,0
train_26406,0
train_23169,0
train_00444,0
train_09635,0
train_26008,0
train_12613,0
train_16153,0
train_11801,0
train_09565,0
train_06746,0
train_13857,0
train_10221,0
train_18785,0
train_30453,0
train_05509,0
train_09612,0
train_26244,0
train_16566,0
train_27081,0
train_21402,0
train_05742,0
train_11618,0
train_11425,0
train_00138,0
train_21288,0
train_08901,0
train_04226,0
train_04179,0
train_09428,0
train_23554,0
train_20763,0
train_02774,0
train_01060,0
train_15252,0
train_25694,0
train_04788,0
train_29614,0
train_18860,0
train_26578,0
train_08263,0
train_13473,0
train_10821,0
train_19188,0
train_20580,0
train_15388,0
train_21939,0
train_31230,0
train_23477,0
train_25397,0
train_26525,0
train_13089,0
train_24410,0
train_15187,0
train_25739,0
train_03668,0
train_08214,0
train_22023,0
train_16778,0
train_19923,0
train_28766,0
train_19845,0
train_07620,0
train_17341,0
train_03699,0
train_21594,0
train_31998,0
train_04438,0
train_15394,0
train_10337,0
train_02714,0
train_30446,0
train_11277,0
train_00447,0
train_08674,0
train_10168,0
train_20615,0
train_21806,0
train_16165,0
train_04561,0
train_23910,0
train_16592,0
train_02308,0
train_30757,0
train_29151,0
train_07430,0
train_02374,0
train_01993,0
train_27626,0
train_13321,0
train_06545,0
train_17887,0
train_16042,0
train_23264,0
train_30895,0
train_20602,0
train_09429,0
train_02474,0
train_27774,0
train_29529,0
train_04793,0
train_31596,0
train_10964,0
train_17349,0
train_28441,0
train_04033,0
train_13553,0
train_20897,0
train_24767,0
train_14179,0
train_02529,0
train_01016,0
train_13373,0
train_00261,0
train_01298,0
train_31628,0
train_16875,0
train_05388,0
train_26395,0
train_21428,0
train_02630,0
train_12534,0
train_16041,0
train_17892,0
train_05823,0
train_21581,0
train_16109,0
train_10853,0
train_11682,0
train_03628,0
train_08196,0
train_26738,0
train_11227,0
train_13195,0
train_24650,0
train_08557,0
train_20067,0
train_13017,0
train_06201,0
train_05534,0
train_19111,0
train_25790,0
train_02629,0
train_23900,0
train_11762,0
train_05954,0
train_11406,0
train_01683,0
train_11282,0
train_25394,0
train_31510,0
train_05132,0
train_01735,0
train_18021,0
train_32118,0
train_05032,0
train_26801,0
